book_name;book_author
ARCA DE NOÉ;VINÍCIUS DE MORAES
ARCO, BARCO, BERÇO, VERSO;JOSÉ DE VASCONCELOS
ARIEL E A JÓIA AZUL - MARINHO;WALT DISNEY
ARIEL SALVA AS SEREIAS;WALT DISNEY
ARIEL, SALVA AS SEREIAS ;LIZ MARSHAM
ARREPIOS - O ABOMINÁVEL HOMEM DAS NEVES DE PASADENA;R. L. STINE
ARREPIOS - TERRORLÂNDIA;R. L. STINE
ÁRVORES NO CAMINHO  ;VANINA STARKOFF
AS ANDANÇAS DO SENHOR FORTES;ANTÓNIO MOTA
AS ARMADILHAS DA FLORESTA;ANTÓNIO MANUEL COUTO VIANA
AS AVENTURAS DA ENGRÁCIA;MARIA ALBERTA MENÉRES
AS AVENTURAS DA PEQUENA SEREIA - BRACELETE;WALT DISNEY
AS AVENTURAS DAS TEA SISTERS - MISTÉRIO EM PARIS;TEA STILTON
AS AVENTURAS DE HOMEDONTE - A TIA NÉVOA;JOSÉ ABRANTES
AS AVENTURAS DE JULES VERNE - VIAGEM AO ABISMO;CAPITÃO NEMO
AS AVENTURAS DE MIKE;GABRIEL DEARO E MANU DIGILIO
AS AVENTURAS DE PINÓQUIO;CARLO COLLODI
AS AVENTURAS DE TACHI, O GRILO TIBETANO;TSERING PALDRON
AS AVENTURAS DE TOM SAWER;MARK TWAIN
AS AVENTURAS DE TOM SAWYER;MARK TWAIN
AS AVENTURAS DE VÍTOR  E OS PIRATAS ;JAN EVANS
AS AVENTURAS DE VÍTOR E A BRUXA;JAN IVENS
AS AVENTURAS DE VÍTOR NA QUINTA;JAN EVANS
AS AVENTURAS DO CAPITÃO CUECAS;DAV PILKEY
AS AVENTURAS DO CAPITÃO CUECAS AGORA A CORES!;DAV PILKEY
AS AVENTURAS DO CAPITÃO CUECAS AGORA A CORES!;DAVE PILKEY.
AS AVENTURAS DO CAPITÃO CUECAS AGORA A CORES! ;DAV PILKEY
AS AVENTURAS DO CAPITÃO DENTINHO- O MISTÉRIO DA ESCOVA DESAPARECIDA;PEDRO FERREIRA LOPES
AS AVENTURAS DO MENINO NICOLAU;RENÉ GOSCINNY
AS AVENTURAS DO SUPER-BEBÉ FRALDINHA;DAV PILKEY
AS AVENTURAS DOS GÉMEOS PINHEIRO-BRAVO- OS GÉMEOS SEGUEM UM TIGRE;CRESSIDA COWELL
AS AVENTURAS DOS GÉMEOS TREETOP - OS GÉMEOS ENCONTRAM DOIS TIRANOSSAUROS;CRESSIDA COWELL
AS AVENTURAS DOS QUATRO GÉMEOS - FÉRIAS NA QUINTA  ;LAURA HOPE
AS CANÇÕEZINHAS DA TILA;MATILDE ROSA ARAÚJO
AS CINCO ÂNFORAS DE OURO;JOANA LUÍSA MATOS
AS CONSULTAS DO DR. SERAFIM E A BRONQUITE DA SENHORA ADRIANA (ONOMATOPEIAS E PONTUAÇÃO);ROSÁRIO ALÇADA ARAÚJO
AS COZINHEIRAS DE LIVROS;MARGARIDA BOTELHO
AS CRÓNICAS DE NARNIA - O PRÍNCIPE CASPIAN;C.S. LEWIS
AS CRÓNICAS DE NÁRNIA- O SOBRINHO DO MÁGICO;C. S. LEWIS
AS EMOÇÕES DO GASTÃO;AURÉLIE CHIE
AS EMOÇÕES DO PEQUENO GATO EGOÍSTA;AUDREY BOUQUET, FABIEN LAMBERT
AS FADAS;CALOUAN ET AL.
AS FADAS FALAM-NOS DE ... GRATIDÃO;ALEIX CABRERA E ROSA MARIA CURTO
AS FADAS FALAM-NOS DE GENEROSIDADE;ALEIX CABRERA E ROSA MARIA CURTO
AS FADAS VERDES;MATILDE ROSA ARAÚJO
AS FERAS DO FUTEBOL CLUBE NÍVEL 2.01 - O FLAGELO DO TROVÃO;JOACHIM MASANNEK
AS FÉRIAS DO PAI NATAL;LOURDES CUSTÓDIO
AS FÉRIAS DO PEQUENO URSO;BENJAMIN CHAUD
AS FLORES TAMBÉM SONHAM;CELESTE DE ALMEIDA GONÇALVES
AS GÉMEAS - O  TERCEIRO ANO EM SANTA CLARA;ENID BLYTON
AS GÉMEAS - O SEGUNDO ANO EM SANTA CLARA;ENID BLYTON
AS GÉMEAS - O SEXTO ANO NO COLÉGIO DE SANTA CLARA;ENID BLYTON
AS GÉMEAS - O TERCEIRO PERÍODO EM SANTA CLARA;ENID BLYTON
AS GÉMEAS FAZEM ANOS;ANA MARIA MAGALHÃES E ISABEL ALÇADA
AS GÉMEAS- O PRIMEIRO ANO EM SANTA CLARA;ENID BLYTON
AS GÉMEAS VOLTAM AO COLÉGIO;ENID BLYTON
AS GIRAFAS NÃO DANÇAM;GILES ANDREAE
AS GRAVATAS DO MEU PAI;PEDRO SEROMENHO
AS HISTÓRIAS DO AVOZINHO;RAUL CORREIA
AS HISTORIAZINHAS DO GUALTER;NANCY HALL
AS INCRÍVEIS FÉRIAS NA PENSÃO MIRARRATOS;GERONIMO STILTON
AS MAIS BELAS COISAS DO MUNDO;VALTER HUGO MÃE
AS MAIS BELAS FÁBULAS DE ESOPO;VÁRIOS
AS MAIS BELAS HISTÓRIAS DE NATAL;VÁRIOS
AS MAIS BELAS HISTÓRIAS DE RUBEM ALVES;RUBEM ALVES
AS MÃOS NÃO SÃO PARA BATER;MARTINE AGASSI
AS MELHORES AMIGAS;NESSA WILLIAMS E PHILIPA WINGATE
AS MELHORES PIADAS DOS MEUS LEITORES;GERONIMO STYLTON
AS MINHAS 100 PRIMEIRAS PALAVRAS;VÁRIOS
AS MINHAS EMOÇÕES;AURÉLIE CHIEN CHOW CHINE
AS MINHAS INCRÍVEIS FÉRIAS DE VERÃO;DAVIDE CALI
AS PALAVRAS ESQUECIDAS;MUNDOS DE VIDA
AS PIORES CRIANÇAS DO MUNDO;DAVID WALLIAMS
AS PIORES CRIANÇAS DO MUNDO 2;DAVID WALLIAMS
AS PREOCUPAÇÕES DO BILLY;ANTHONY BROWNE
AS PRINCESAS E AS CORES;WALT DISNEY
AS PROFISSÕES;SYLVIE BAUSSIER
AS REGRAS DA PRINCESA;PHILIPPA GREGORY
AS ROSAS INGLESAS;MADONNA
AS TRAPALHADAS DA BRUXA MIMI;LAURA OWEN
AS VIAGENS DE GULIVER;JONATHAN SWIFT
ASSASSINATION CLASSROOM - HORA PARA MATAR;YUSEI MATSUI
ASSIM COMEÇA A VIDA ;ANA CRISTINA SILVA
ASSIM OU ASSADO;ANA PESSOA
ASTÉRIX - A FILHA DE VERCINGÉTORIX;JEAN-YVES FERRI
ASTÉRIX - A FOICE DE OURO;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX - A ZARAGATA;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX - ASTÉRIX E A CLEÓPATRA;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX - ASTÉRIX E CLEÓPATRA ;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX - ASTÉRIX E O CALDEIRÃO MÁGICO;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX - ASTÉRIX E O GRIFO;RENÉ GOSCINNY ET AL.
ASTÉRIX - ASTÉRIX E O REGRESSO DOS GAULESES;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX - ASTÉRIX ENTRE OS BRETÕES;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX - ASTÉRIX ENTRE OS PICTOS;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX - ASTÉRIX NA HISPÂNIA ;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX - ASTÉRIX NOS JOGOS OLÍMPICOS;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX - O ADIVINHO;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX - O ADIVINHO  ;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX - O CÉU CAI-LHE EM CIMA DA CABEÇA ;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX - O PRESENTE DE CÉSAR;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX E O CALDEIRÃO ;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX O GAULÊS;ALBERT UDERZO E RENÉ GOSCINNY
ASTÉRIX- O SEGREDO DA POÇÃO MÁGICA;OLIVIER GAY
ASTROLOGIA - TUDO O QUE PRECISA DE SABER;KATHLEEN SEARS
ASTROSSAUROS - O PLANETA PERIGOSO;STEVE COLE
ATAQUE CANINO;ANDREW CLOVER
ATENÇÃO À CAUDA, VÊM AÍ METEORITOS;GERONIMO STILTON
ATLÂNTIDA, O CONTINENTE PERDIDO;WALT DISNEY
ATLAS DA NATUREZA;JEAN DELAROCHE
ATLAS DAS BANDEIRAS;CLIVE GIFFORD
ATLAS DAS CRIANÇAS;VÁRIOS
ATLAS DO MUNDO;ARTE PLURAL - YOYO
ATLAS DOS ANIMAIS;TOMÁS TUMA
ATLAS DOS ANIMAIS ;GERONIMO STILTON
ATLAS ILUSTRADO;BRIAN DELF
ATLAS ILUSTRADO DOS ANIMAIS ;BARBARA TAYLOR
ATLAS INFANTIL;BELINDA WEBER
ATTACK ON TITAN 32;HAJIME ISAYAMA
AUTHENTICGAMES - NAMORADA PERFEITA;MARCO TÚLIO
AUTHENTICGAMES - VIVENDO UMA VIDA AUTÊNTICA ;MARCO TÚLIO
AVE RARA!;ROCIO BONILLA
AVENTURA NA ÁRVORE!;BEATRIX POTTER
AVENTURAS DA CAUDA DO IGOR;ANN BRAYBROOKS
AVENTURAS DO PATO RAIMUNDO;BERNARDO PINTO DE ALMEIDA
AVENTURAS NA ESCOLA- UMA RAPARIGA REBELDE;ENID BLYTON
AVISO - NÃO TOCAR!;TIM WARNES
AVISO AO REI LEÃO;THEREZINHA CASASANTA
AVÓ SARILHO - A ESTRELA DA FESTA;SOPHY HENN
AVÓ SARILHO - MUITA IDADE, POUCO JUÍZO;SOPHY HENN
AVÔ, CONTA-ME OUTRA VEZ;JOSÉ LETRIA
AVÓS;CHEMA HERAS
AVOZINHA GÂNGSTER;DAVID WALLIAMS
BAILARINA MÁGICA - DELPHIE E O ESPECTÁCULO DE ANIVERSÁRIO;DARCEY BUSSEL
BAILARINA MÁGICA- ROSA E O PRÉMIO ESPECIAL;DARCEY BUSSELL
BALBÚRDIA;TERESA CORTEZ
BALEIAS GOLFINHOS E TONINHAS;BRONWYN SWEENEY
BAMBI;WALT DISNEY
BAMBI;
BARBAPAPA;TALUS TAYLOR E ANNETTE TISON
BARBIE - TU PODES SER GINASTA;VÁRIOS
BARBIE E AS AGENTES SECRETAS - MISSÃO JÓIAS PERDIDAS;VÁRIOS
BARBIE NO MUNDO DOS JOGOS ;VÁRIOS
BARBIE PRINCESA ROCK STAR - DUAS ESTRELAS UM DESTINO;VÁRIOS
BARRIGA DA BALEIA;ANTÓNIO JORGE GONÇALVES
BEATRIZ E O PLÁTANO;ILSE LOSA
BEATRIZ, USA O NARIZ!;ISABEL COUTO E RICARDO SANTOS
BEIJINHOS BEIJINHOS;SELMA MANDINE
BEIJINHOS NÃO DOU!;JULIA JARMAN
BEIJOS E BREJOS, OS PECEVEJOS;ANTOON KRINGS
BEM-VINDOS AO NOSSO MUNDO;MOIRA BUTTERFIELD
BEN 10 - AVENTURAS ALIENÍGENAS - OMNI-ILUSÃO ;VÁRIOS
BENEDITA CATITA E SEBASTIÃO ZANGÃO;JOSÉ BARROCO
BERNARDINO;MANUELA BACELAR
BERNARDO FAZ BIRRA;HIAWYN ORAM
BEYBLADE METAL FUSION - AO ATAQUE! O PODER DO TOURO!;TAKAFUMI ADACHI
BEYBLADE SHOGUN STEEL - CHEGA UMA NOVA ERA!;TAKAFUMI ADACHI
BFF - WOWCOME SUMMER!;MARIA DE CARVALHO
BIA - DE FÉRIAS COM AS AMIGAS;WALT DISNEY
BIA - O MEU PRIMEIRO AMOR;WALT DISNEY
BIA E O UNICORNIO;DANA SIMPSON
BIA E O UNICÓRNIO;DANA SIMPSON
BIA E O UNICÓRNIO -  SEGREDOS DE UNICÓRNIO;DANA SIMPSON
BIA E O UNICÓRNIO - A TEMPESTADE MÁGICA;DANA SIMPSON
BIA E O UNICÓRNIO - BRILHA, BRILHA, UNICÓRNIO;DANA SIMPSON
BIA E O UNICÓRNIO - CHAPÉUS HÁ MUITOS, UNICÓRNIO!;DANA SIMPSON
BIA E O UNICÓRNIO - FÉRIAS COM UNICÓRNIOS;DANA SIMPSON
BIA E O UNICÓRNIO - O UNICÓRNIO VIRTUAL;DANA SIMPSON
BIA E O UNICÓRNIO - PALMAS PARA O UNICÓRNIO;DANA SIMPSON
BIA E O UNICÓRNIO - PROEZAS DE UNICÓRNIO! ;DANA SIMPSON
BIA E O UNICÓRNIO- PROEZAS DE UNICÓRNIO!;DANA SIMPSON
BIA E O UNICÓRNIO- SEGREDOS DE UNICÓRNIO;DANA SIMPSON
BIA E O UNICÓRNIO- UNICÓRNIO CONTRA DUENDES;DANA SIMPSON
BIA E O UNICÓRNIO- UNICÓRNIO SOBRE RODAS;DANA SIMPSON
BIA E O UNICÓRNIO- ZONA DE UNICÓRNIOS;DANA SIMPSON
BÍBLIA DAS CRIANÇAS;JULIET DAVID
BIBLIOTECA DO CONHECIMENTO- DINOSSAUROS;CRISTINA BANFI
BICHOS DIVERSOS EM VERSOS ;ANTÓNIO MANUEL COUTO VIANA
BICHOS DO MEU QUINTAL E ALGUMAS GOTAS DE CHUVA;MANUELA NEVES
BICHOS, BICHINHOS BICHAROCOS;SIDÓNIO MURALHA
BIG NATE - NUMA CLASSE À PARTE;LINCOLN PEIRCE
BLÁ,BLÁ,QUÁ,QUÁ! - COMO OS ANIMAIS COMUNICAM ... E PORQUẼ;NICOLA DAVIES
BLAZE - A TODA A VELOCIDADE!;NICKELODEON
BLAZE - ZEG E O OVO DO DINOSSAURO;NICKELODEON
BOA NOITE PLUM!;MICHELINE BERTRAND E LISE MARIN
BOLT;WALT DISNEY
BOMBEIRO DOS PÉS À CABEÇA;LARA XAVIER
BONITA;CANIZALES
BORIS AJUDA A MAMÃ;ANNE LEBLANC
BRANCA DE NEVE E OS SETE ANÕES;JACOB GRIMM E WILHELM GRIMM
BRANCA DE NEVE E OS SETE ANÕES ;JULIA SEAL
BRAVE - LIVRO DO FILME;WALT DISNEY
BRINCAR COM AS PALAVRAS;LUÍSA DUCLA SOARES E DANIEL COMPLETO
BRINCAR COM O SONS DAS VOGAIS;ALICE CARDOSO
BRINCOS DE CEREJA;MARIA ANTONIETA
BUSCA LEÃO, BUSCA;STEVEN KELLOGG
CÁ EM CASA SOMOS...;ISABEL MINHÓS MARTINS
CABEÇA DE ANDORINHA;JOANA M. LOPES
CABEÇAS NA LUA;DANIEL COMPLETO ET AL.
CAEM NOTÍCIAS LÁ DE CIMA, STILTONUTO!;GERONIMO STILTON
CAI, CHUVA, CAI;ANN BRAYBROOKS
CALVIN & HOBES - A NOITE DA GRANDE VINGANÇA ;BILL WATTERSON
CAMILA PORTA-SE MAL;ALINE DE PÉTIGNY
CAMILA TEM UM PESADELO;ALINE DE PETIGNY
CAMILA TEM UM PESADELO;ALINE PÉTIGNY
CAMILA VAI AO PARQUE;ALINE DE PETIGNY
CAMILO, UM CAMELO NA SELVA;JULIO BORGES
CAMILO, UM CAMELO NA SELVA;JÚLIO BORGES
CAMUÑAS;MARGARITA DEL MAZO
CANTA O GALO GORDO;INÊS PUPO E GONÇALO PRATAS
CANTILENAS LOUCAS, ORELHAS ROUCAS;JOÃO MANUEL RIBEIRO
CANTOS E CONTOS TRADICIONAIS;ANA MARIA MAGALHÃES
CANTOS E CONTOS TRADICIONAIS;ANA MARIA MAGALHÃES E DANIEL COMPLETO
CANTOS E CONTOS TRADICIONAIS;ANA MARIA MAGALHÃES E ISABEL ALÇADA
CANTOS E CONTOS TRADICIONAIS;ANA MARIA MAGALHÃES, ISABEL ALÇADA E DANIEL COMPLETO
CANTOS E CONTOS TRADICIONAIS;ISABEL ALÇADA E ANA MARIA MAGALHÃES
CÃO QUE LADRA NÃO MORDE;ANA OOM
CÃO QUE LADRA NÃO MORDE?;MARTY BECKER
CÃOZINHO MÁGICO - ASES DA PATINAGEM;SUE BENTLEY
CÃOZINHO MÁGICO - AVENTURAS NA QUINTA ;SUE BENTLEY
CÃOZINHO MÁGICO - UMA NOVA VIDA;SUE BENTLEY
CAPITÃO AMÉRICA - BRANCO;JEPH LOEB 
CAPITÃO MIAU MIAU;JORGE COURELA
CAPITÃO ROSALIE;TIMOTHÉE DE FOMBELLE
CAPUCHINHO VERMELHO;CHARLES PERRAULT
CAPUCHINHO VERMELHO;ELIZABETH GOLDING
CAPUCHINHO VERMELHO;EMMA MUNRO SMITH
CAPUCHINHO VERMELHO;HÉLÈNE BENEY
CARLITOS, O CORAJOSO;ISABEL DEL TORO GOMES
CARLOTA BARBOSA, A BRUXA MEDROSA;LAYN MARLOW
CARMELA, A GALINHA QUE QUERIA VER O MAR;CHRISTIAN JOLIBOIS
CAROLINA E O SEU CÃO ;A.LANSMANNE
CAROLINA E OS PÁSSAROS;MARIA TERESA MAIA GONZALEZ
CARROS;WALT DISNEY
CARROS 2 - O LIVRO DO FILME;WALT DISNEY
CARROS 3 - VELOCIDADE DOS CAMPEÕES;WALT DISNEY
CARTA PARA O PAI NATAL;NED TAYLOR
CASA DAS PALAVRAS;ANTÓNIO MOTA
CASAMENTO DE INCONVENIÊNCIA;WALT DISNEY
CASCÃO - BRINCADEIRAS 2;MAURICIO DE SOUSA
CASINHA DE CHOCOLATE;ANA OOM
CEM SEMENTES QUE VOARAM;ISABEL MINHÓS MARTINS E YARA KONO
CEREJA, A FADAZINHA DOS BOLOS;DAISY MEADOWS
CH DE CHICO;MARIA JOÃO TEIXEIRA MORENO
CHAMO-ME FRIK E JÁ TENHO DONO;MARGARIDA FONSECA SANTOS
CHARLIE E A FÁBRICA DE CHOCOLATE;ROALD DAHL
CHEGUEI ATRASADO À ESCOLA PORQUE...;DAVIDE CALI
CHIBOS SABICHÕES;OLALLA GONZÁLEZ
CHIBOS SABICHÕES ;OLALLA GONZÁLEZ
CHICKEN LITTLE;WALT DISNEY
CHICKEN LITTLE ;WALT DISNEY
CHICO FANTÁSTICO SUPER HERÓI DE PLÁSTICO;PEDRO SEROMENHO
CHIU, ESTOU A LER!;JOHN KELLY
CICLO DA CORTIÇA;CRISTINA QUENTAL ET AL
CICLO DA LÃ;CRISTINA QUENTAL ET AL
CICLO DO ARROZ;CRISTINA QUENTAL ET AL
CICLO DO AZEITE ;CRISTINA QUENTAL ET AL
CICLO DO CHOCOLATE;CRISTINA QUENTAL E MARIANA MAGALHÃES
CICLO DO CHOCOLATE;CRISTINA QUENTAL ET AL
CICLO DO LEITE;CRISTINA QUENTAL E MARIANA MAGALHÃES
CICLO DO LIVRO;CRISTINA QUENTAL E MARIANA MAGALHÃES
CICLO DO MEL;CRISTINA QUENTAL E MARIANA MAGALHÃES
CICLO DO MEL;CRISTINA QUENTAL ET AL
CICLO DO MEL ;CRISTINA QUENTAL E MARIANA MAGALHÃES
CICLO DO OVO;CRISTINA QUENTAL ET AL
CICLO DO PÃO;CRISTINA QUENTAL E MARIANA MAGALHÃES
CINDERELA;CHARLES PERRAULT
CINDERELA;WALT DISNEY
CLARA E A MÚSICA;LIANE SCHNEIDER
CLARA E BRUNO DANÇAM AO LUAR;DYAN SHELDON
CLARA FAZ ANOS;JÚLIA BOEHME
CLARA NA EQUITAÇÃO;LIANE SCHNEIDER
CLIMAT 100;MARIA ADELAIDE FONCECA
CLUBE DAS FADAS ;GAIL YERRILL E CLAIRE FREEDMAN
CLUBE UNICÓRNIO;SUZY SENIOR
COLEÇÃO GOLFINHOS PRATEADOS - AMIGOS SECRETOS;SUMMER WATERS
COM A MAMÃ;JAMES BROWN
COM MUITA PINTA!;LARA XAVIER
COM UM BEIJINHO;HIAWYN ORAM E FREDERIC JOOS
COMEÇA NUMA SEMENTE;LAURA KNOWLES
"COMO ""GIRA"" O MUNDO";VÁRIOS
COMO APANHAR UMA ESTRELA;OLIVER JEFFERS
COMO AQUI CHEGÁMOS?;PHILIP BUNTING
COMO É QUE ELE FOI PARAR AÍ DENTRO?;ILAN BRENMAN
COMO É QUE EU DURMO?;A. POZNER
COMO ENCONTRAR & AMANSAR DRAGÕES;ERNEST DRAKE
COMO FUNCIONAVAM OS DINOSSAUROS;ALAN SNOW
COMO SE FAZ COR DE LARANJA;ANTÓNIO TORRADO
COMO SER UM UNICÓRNIO ;SEA3PO
COMO TOMAR CONTA DE UMA AVÓ;JEAN REAGAN
COMO TREINARES O TEU DRAGÃO;CRESSIDA COWELL
COMO TREINARES O TEU DRAGÃO - O MUNDO SECRETO;EMILY STEAD
COMO TU;ANA LUÍSA AMARAL
COMPARAÇÕES INCRÍVEIS - MEDE O MUNDO À TUA VOLTA!;CLIVE GIFFORD
COMPRAR, COMPRAR, COMPRAR!;LUÍSA DACOSTA
CONHECE OS TEUS DIREITOS!;MANUEL REIS
CONHECE, APRENDE E EXPLORA - O MUNDO DOS ANIMAIS;IRENA TREVISAN
CONTA-ME... 232 HISTÓRIAS;VÁRIOS
CONTO DA MATA DOS MEDOS;ALVARO MAGALHÃES
CONTO POP-UP- OS TRÊS PORQUINHOS;DANIELLE MCLEAN
CONTOS AO VENTO COM DEMÓNIOS DENTRO;ALEXANDRE PARAFITA
CONTOS ARREPIANTES DA HISTÓRIA DE PORTUGAL;RUI NABAIS
CONTOS DA PRINCESA CLARINHA;CLARA GOMES
CONTOS DA PRINCESA POPPY - VOLUME 4;JANEY JONES
CONTOS DE ANDERSEN;HANS CHRISTIAN ANDERSEN
CONTOS DE NATAL;CHARLES DICKENS
CONTOS DE OURO - O REI LEÃO ;WALT DISNEY
CONTOS DE PERRAULT;CHARLES PERRAULT
CONTOS DE PRINCESAS;VÁRIOS
CONTOS DO ARCO-ÍRIS;MARTA ELIAS
CONTOS DO MAR;MARCELLE VÉRITÉ
CONTOS E LENDAS DE PORTUGAL 2;NATÉRCIA ROCHA
CONTOS E LENDAS DE PORTUGAL E DO MUNDO;JOÃO MÉSSEDER E ISABEL RAMALHETE
CONTOS FANTÁSTICOS ;VÁRIOS
CONTOS PARA A INFÂNCIA;GUERRA JUNQUEIRO
CONTOS PARA RECORDAR 2;LAURA RAZZABONI
CONTOS PARA RIR;LUÍSA DACOSTA
CONTOS POPULARES PORTUGUESES ;ADOLFO COELHO
CONTOS POPULARES PORTUGUESES- O RABO DO GATO;ADOLFO COELHO
CONTOS SOLIDÁRIOS -  FROZEN ;WALT DISNEY
CONTOS SOLIDÁRIOS - CINDERELA;WALT DISNEY
CONTOS SOLIDÁRIOS 2 - ALLADIN;WALT DISNEY
CONTOS TRADICIONAIS - PETER PAN ;LAURA RAZZABONI
CONTRA OS MICRÓBIOS LUTAR, LUTAR!;PAULA ALMEIDA
CORAÇÃO DE MÃE;ISABEL MINHÓS MARTINS
CORAÇÕES AOS MILHÕES;JOANA LOPES
CORES QUE SE AMAM;PACO ABRIL
CORRE CORRE, CABACINHA;EVA MEJUTO 
CORRE CORRE, CABECINHA;EVA MEJUTO
CORRE, CORRE CABACINHA;ANA OOM (ADAPTAÇÃO DO TEXTO)
CORRE, CORRE, CABACINHA;ALICE VIEIRA
CRI-CRI;IRENE PUIG
CRIME NO EXPRESSO DO OCIDENTE;MARIA MACEDO
CRISTIANO RONALDO;BODNÁR ZALÁN E NÉMETH GYULA
CRISTIANO RONALDO - O LIVRO ESSENCIAL PARA OS FÃS ;VÁRIOS
CROCODILO E GIRAFA- UMA FAMÍLIA IGUAL ÀS OUTRAS;DANIELA KULOT
CRÓNICAS DO VAMPIRO VALENTIM-A MALDIÇÃO DA ESTRELA MORTA;ÁLVARO MAGALHÃES
CUIDADO COM O CÃO!;PEDRO PENIZZOTTO
CUIDADO, É UM DRAGÃO!;JONNY LAMBERT
CUSCAS NO CASTELO DE GUIMARÃES;PAULO SANTOS
D DE DANIEL;DOMINIQUE FOUFELLE
D. AMÉLIA - A RAINHA QUE DEIXOU O CORAÇÃO EM PORTUGAL;ISABEL STILWELL
D. CARLOS;RUI RAMOS
DA RAIZ DO CABELO ATÉ A PONTA DO PÉ;EMÍLIA NUÑEZ
DAMA E O VAGABUNDO ;DON DAGRADI
DAMIÃO A TOUPEIRA FURACÃO;ANNA LLENAS
DANÇAR NAS NUVENS;VANIA STARKOFF
DAQUI NINGUÉM PASSA!;ISABEL MINHÓS MARTINS
DAS TORMENTAS À ESPERANÇA;ANA OOM
DAVID BOWIE;ANA ALBERO E MARIA ISABEL SÁNCHEZ VEGARA
DAVID E GOLIAS CONTRA O BARULHO;JORGE REIS-SÁ
DE MEIO RATO A RATO INTEIRO... EM QUATRO DIAS E MEIO!;GERONIMO STILTON
DE ONDE VÊM AS BRUXAS?;JOANA LOPES
DE ONDE VENHO?;SERGI CÀMARA 
DE QUE COR É A SAUDADE?;TÂNIA CAIADO AMARAL
DE QUE COR É O DESEJO?;JOÃO MÉSSEDER
DE QUE COR É UM BEIJINHO?;ROCIO BONILLA
DÉCIMA VIAGEM AO REINO DA FANTASIA;GERONIMO STILTON
DEFINITIVAMENTE, NÃO ABRAS ESTE LIVRO;ANDY LEE
DENTE BRANCO;JACK LONDON
DENTE BRANCO;VÁRIOS
DENTOLA, DENTINHO E DENTÃO;JOSÉ FANHA
DESCENDENTES 3 - NARRATIVA JUVENIL;WALT DISNEY
DESCOBRE O FUNDO DO MAR;FRANCES DIPPER
DESCULPA... POR ACASO ÉS UMA BRUXA?;EMILY HORN
DESEJOS DE NATAL;LUÍSA DACOSTA
DESEJOS DE NATAL ;LUÍSA DACOSTA
DESEJOS...;EMMA DODD
DESTINO DE UM PARAFUSO;ANDRE SILVA
DESTRAVA LÍNGUAS;LUÍSA DACOSTA
DEWEY - O GATO QUE COMOVEU O MUNDO;VICKI MYRON
DEZ DEDOS DEZ SEGREDOS;MARIA ALBERTA MENÉRES
DEZ MINUTOS... E CAMA, PEQUENO UNICÓRNIO;RHIANNON FIELDING
DEZ PEQUENAS PRINCESAS;MIKE BROWNLOW
DEZEMBRO À PORTA;ANTÓNIO TORRADO
DIABOS, DIABRITOS E OUTROS MAFARRICOS;ALEXANDRE PARAFITA
DIANA, A FADA DOS DIAMANTES E O DESASTRE NA PASSARELA;SARAH CREESE
DIÁRIO ANIMAL - TIRANOSSAURO REX;STEVE PARKER
DIÁRIO ANIMAL - TUBARÃO;STEVE PARKER
DIÁRIO DE BEATRIZ;MARIA MINEIRO
DIÁRIO DE UM BANANA - APRENDE INGLÊS;JEFF KINNEY
DIÁRIO DE UM BANANA - BATALHA NEVAL;JEFF KINNEY
DIÁRIO DE UM BANANA- CAINDO NA ESTRADA;JEFF KINNEY
DIÁRIO DE UM BANANA- QUEBRA TUDO;JEFF KINNEY
DIÁRIO DE UM MINECRAFTER- PRESO NO MINECRAFT!;MINECRAFTY FAMILY
DIÁRIO DE UMA GAROTA NADA POPULAR;RACHEL RENÉE RUSSELL
DIÁRIO DE UMA MIÚDA COMO TU;MARIA INÊS ALMEIDA
DIÁRIO DE UMA MIÚDA COMO TU;MARIA INÊS DE ALMEIDA
DIÁRIO DE UMA MIÚDA COMO TU - ACORDA FRANCISCA;MARIA INÊS ALMEIDA
DIÁRIO DE UMA MIÚDA COMO TU - CABEÇA NAS NUVENS;MARIA INÊS ALMEIDA
DIÁRIO DE UMA MIÚDA COMO TU - FÉRIAS!;MARIA INÊS ALMEIDA
DIÁRIO DE UMA MIÚDA COMO TU - SEM DRAMAS, PLEASE!;MARIA INÊS ALMEIDA
DIÁRIO DE UMA MIÚDA COMO TU - SEM PÉS NEM CABEÇA;MARIA INÊS ALMEIDA
DIÁRIO DE UMA MIÚDA COMO TU - TIQUE TAQUE TOQUE!;MARIA INÊS ALMEIDA
